;Rank;Rider;Team;Times;Gap;B;P;Stages;Ranking type;Points;Checkpoint;Year;Distance (km);Number of stages;ResultType;TotalSeconds;GapSeconds
459932;23;THIBAUT PINOT;GROUPAMA - FDJ;04h 30' 06'';+ 00h 10' 25'';;;9;Individual (Stage);;;2023;3404;21;time;16206;625
459933;24;LOUIS MEINTJES;INTERMARCHÉ - CIRCUS - WANTY;04h 30' 06'';+ 00h 10' 25'';;;9;Individual (Stage);;;2023;3404;21;time;16206;625
459934;25;DAVID GAUDU;GROUPAMA - FDJ;04h 30' 06'';+ 00h 10' 25'';;;9;Individual (Stage);;;2023;3404;21;time;16206;625
459935;26;ROMAIN BARDET;TEAM DSM - FIRMENICH;04h 30' 23'';+ 00h 10' 42'';;;9;Individual (Stage);;;2023;3404;21;time;16223;642
459936;27;MIKEL LANDA MEANA;BAHRAIN VICTORIOUS;04h 30' 41'';+ 00h 11' 00'';;;9;Individual (Stage);;;2023;3404;21;time;16241;660
459937;28;EMANUEL BUCHMANN;BORA - HANSGROHE;04h 30' 45'';+ 00h 11' 04'';;;9;Individual (Stage);;;2023;3404;21;time;16245;664
459938;29;HAROLD TEJADA CANACUE;ASTANA QAZAQSTAN TEAM;04h 31' 05'';+ 00h 11' 24'';;;9;Individual (Stage);;;2023;3404;21;time;16265;684
459939;3;MATEJ MOHORIC;BAHRAIN VICTORIOUS;04h 20' 16'';+ 00h 00' 35'';04';;9;Individual (Stage);;;2023;3404;21;time;15616;35
459940;30;JONATHAN CASTROVIEJO NICOLAS;INEOS GRENADIERS;04h 31' 20'';+ 00h 11' 39'';;;9;Individual (Stage);;;2023;3404;21;time;16280;699
459941;31;CHRIS HARPER;TEAM JAYCO ALULA;04h 31' 46'';+ 00h 12' 05'';;;9;Individual (Stage);;;2023;3404;21;time;16306;725
459942;32;VALENTIN MADOUAS;GROUPAMA - FDJ;04h 31' 48'';+ 00h 12' 07'';;;9;Individual (Stage);;;2023;3404;21;time;16308;727
459943;33;ION IZAGIRRE INSAUSTI;COFIDIS;04h 32' 12'';+ 00h 12' 31'';;;9;Individual (Stage);;;2023;3404;21;time;16332;751
459944;34;GUILLAUME MARTIN GUYONNET;COFIDIS;04h 32' 12'';+ 00h 12' 31'';;;9;Individual (Stage);;;2023;3404;21;time;16332;751
459945;35;FELIX GROSSSCHARTNER;UAE TEAM EMIRATES;04h 35' 48'';+ 00h 16' 07'';;;9;Individual (Stage);;;2023;3404;21;time;16548;967
459946;36;RAFAL MAJKA;UAE TEAM EMIRATES;04h 35' 48'';+ 00h 16' 07'';;;9;Individual (Stage);;;2023;3404;21;time;16548;967
459947;37;JACK HAIG;BAHRAIN VICTORIOUS;04h 35' 48'';+ 00h 16' 07'';;;9;Individual (Stage);;;2023;3404;21;time;16548;967
459948;38;WILCO KELDERMAN;JUMBO-VISMA;04h 35' 48'';+ 00h 16' 07'';;;9;Individual (Stage);;;2023;3404;21;time;16548;967
459949;39;BEN O'CONNOR;AG2R CITROEN TEAM;04h 36' 02'';+ 00h 16' 21'';;;9;Individual (Stage);;;2023;3404;21;time;16562;981
459950;4;MATTEO JORGENSON;MOVISTAR TEAM;04h 20' 17'';+ 00h 00' 36'';;;9;Individual (Stage);;;2023;3404;21;time;15617;36
459951;40;KEVIN VERMAERKE;TEAM DSM - FIRMENICH;04h 36' 02'';+ 00h 16' 21'';;;9;Individual (Stage);;;2023;3404;21;time;16562;981
459952;41;EGAN BERNAL GOMEZ;INEOS GRENADIERS;04h 38' 15'';+ 00h 18' 34'';;;9;Individual (Stage);;;2023;3404;21;time;16695;1114
459953;42;G LAWSON CRADDOCK;TEAM JAYCO ALULA;04h 39' 14'';+ 00h 19' 33'';;;9;Individual (Stage);;;2023;3404;21;time;16754;1173
459954;43;QUENTIN PACHER;GROUPAMA - FDJ;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459955;44;BOB JUNGELS;BORA - HANSGROHE;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459956;45;MARC SOLER;UAE TEAM EMIRATES;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459957;46;MATTHEW DINHAM;TEAM DSM - FIRMENICH;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459958;47;CHRISTOPHER HAMILTON;TEAM DSM - FIRMENICH;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459959;48;NELSON OLIVEIRA;MOVISTAR TEAM;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459960;49;JUAN PEDRO LOPEZ PEREZ;LIDL - TREK;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459961;5;CLÉMENT BERTHET;AG2R CITROEN TEAM;04h 20' 36'';+ 00h 00' 55'';;;9;Individual (Stage);;;2023;3404;21;time;15636;55
459962;50;RUI COSTA;INTERMARCHÉ - CIRCUS - WANTY;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459963;51;RUBEN ALMEIDA GUERREIRO;MOVISTAR TEAM;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459964;52;KÉVIN GENIETS;GROUPAMA - FDJ;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459965;53;JULIAN ALAPHILIPPE;SOUDAL QUICK-STEP;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459966;54;DANIEL FELIPE MARTINEZ POVEDA;INEOS GRENADIERS;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459967;55;WOUT VAN AERT;JUMBO-VISMA;04h 39' 37'';+ 00h 19' 56'';;;9;Individual (Stage);;;2023;3404;21;time;16777;1196
459968;56;LILIAN CALMEJANE;INTERMARCHÉ - CIRCUS - WANTY;04h 39' 57'';+ 00h 20' 16'';;;9;Individual (Stage);;;2023;3404;21;time;16797;1216
459969;57;WARREN BARGUIL;TEAM ARKEA - SAMSIC;04h 40' 34'';+ 00h 20' 53'';;;9;Individual (Stage);;;2023;3404;21;time;16834;1253
459970;58;KRISTS NEILANDS;ISRAEL - PREMIER TECH;04h 40' 59'';+ 00h 21' 18'';;;9;Individual (Stage);;;2023;3404;21;time;16859;1278
459971;59;STEFAN KÜNG;GROUPAMA - FDJ;04h 41' 21'';+ 00h 21' 40'';;;9;Individual (Stage);;;2023;3404;21;time;16881;1300
459972;6;NEILSON POWLESS;EF EDUCATION - EASYPOST;04h 21' 04'';+ 00h 01' 23'';;;9;Individual (Stage);;;2023;3404;21;time;15664;83
459973;60;GIULIO CICCONE;LIDL - TREK;04h 41' 41'';+ 00h 22' 00'';;;9;Individual (Stage);;;2023;3404;21;time;16901;1320
459974;61;WOUT POELS;BAHRAIN VICTORIOUS;04h 41' 41'';+ 00h 22' 00'';;;9;Individual (Stage);;;2023;3404;21;time;16901;1320
459975;62;DYLAN TEUNS;ISRAEL - PREMIER TECH;04h 41' 41'';+ 00h 22' 00'';;;9;Individual (Stage);;;2023;3404;21;time;16901;1320
459976;63;AURÉLIEN PARET PEINTRE;AG2R CITROEN TEAM;04h 42' 01'';+ 00h 22' 20'';;;9;Individual (Stage);;;2023;3404;21;time;16921;1340
459977;64;PATRICK KONRAD;BORA - HANSGROHE;04h 42' 01'';+ 00h 22' 20'';;;9;Individual (Stage);;;2023;3404;21;time;16921;1340
459978;65;SIMON GESCHKE;COFIDIS;04h 42' 01'';+ 00h 22' 20'';;;9;Individual (Stage);;;2023;3404;21;time;16921;1340
459979;66;NILS POLITT;BORA - HANSGROHE;04h 42' 01'';+ 00h 22' 20'';;;9;Individual (Stage);;;2023;3404;21;time;16921;1340
459980;67;GEORG ZIMMERMANN;INTERMARCHÉ - CIRCUS - WANTY;04h 42' 01'';+ 00h 22' 20'';;;9;Individual (Stage);;;2023;3404;21;time;16921;1340
459981;68;DION SMITH;INTERMARCHÉ - CIRCUS - WANTY;04h 42' 01'';+ 00h 22' 20'';;;9;Individual (Stage);;;2023;3404;21;time;16921;1340
459982;69;NANS PETERS;AG2R CITROEN TEAM;04h 42' 25'';+ 00h 22' 44'';;;9;Individual (Stage);;;2023;3404;21;time;16945;1364
459983;7;ALEXEY LUTSENKO;ASTANA QAZAQSTAN TEAM;04h 21' 20'';+ 00h 01' 39'';;;9;Individual (Stage);;;2023;3404;21;time;15680;99
459984;70;ANTHONY DELAPLACE;TEAM ARKEA - SAMSIC;04h 42' 25'';+ 00h 22' 44'';;;9;Individual (Stage);;;2023;3404;21;time;16945;1364
459985;71;JONAS ABRAHAMSEN;UNO-X PRO CYCLING TEAM;04h 42' 43'';+ 00h 23' 02'';;;9;Individual (Stage);;;2023;3404;21;time;16963;1382
459986;72;MATIS LOUVEL;TEAM ARKEA - SAMSIC;04h 43' 27'';+ 00h 23' 46'';;;9;Individual (Stage);;;2023;3404;21;time;17007;1426
459987;73;DYLAN VAN BAARLE;JUMBO-VISMA;04h 43' 53'';+ 00h 24' 12'';;;9;Individual (Stage);;;2023;3404;21;time;17033;1452
459988;74;MATHIEU VAN DER POEL;ALPECIN-DECEUNINCK;04h 43' 53'';+ 00h 24' 12'';;;9;Individual (Stage);;;2023;3404;21;time;17033;1452
459989;75;MIKE TEUNISSEN;INTERMARCHÉ - CIRCUS - WANTY;04h 43' 53'';+ 00h 24' 12'';;;9;Individual (Stage);;;2023;3404;21;time;17033;1452
459990;76;JONAS RICKAERT;ALPECIN-DECEUNINCK;04h 43' 53'';+ 00h 24' 12'';;;9;Individual (Stage);;;2023;3404;21;time;17033;1452
459991;77;GUILLAUME BOIVIN;ISRAEL - PREMIER TECH;04h 44' 02'';+ 00h 24' 21'';;;9;Individual (Stage);;;2023;3404;21;time;17042;1461
459992;78;RÉMI CAVAGNA;SOUDAL QUICK-STEP;04h 45' 12'';+ 00h 25' 31'';;;9;Individual (Stage);;;2023;3404;21;time;17112;1531
459993;79;SILVAN DILLIER;ALPECIN-DECEUNINCK;04h 45' 21'';+ 00h 25' 40'';;;9;Individual (Stage);;;2023;3404;21;time;17121;1540
459994;8;GREGAARD JONAS WILSLY;UNO-X PRO CYCLING TEAM;04h 21' 39'';+ 00h 01' 58'';;;9;Individual (Stage);;;2023;3404;21;time;15699;118
459995;80;DANNY VAN POPPEL;BORA - HANSGROHE;04h 45' 23'';+ 00h 25' 42'';;;9;Individual (Stage);;;2023;3404;21;time;17123;1542
459996;81;ANTHONY PEREZ;COFIDIS;04h 45' 23'';+ 00h 25' 42'';;;9;Individual (Stage);;;2023;3404;21;time;17123;1542
459997;82;MARCO HALLER;BORA - HANSGROHE;04h 45' 23'';+ 00h 25' 42'';;;9;Individual (Stage);;;2023;3404;21;time;17123;1542
459998;83;STAN DEWULF;AG2R CITROEN TEAM;04h 45' 53'';+ 00h 26' 12'';;;9;Individual (Stage);;;2023;3404;21;time;17153;1572
459999;84;OLIVER NAESEN;AG2R CITROEN TEAM;04h 45' 53'';+ 00h 26' 12'';;;9;Individual (Stage);;;2023;3404;21;time;17153;1572
460000;85;HUGO HOULE;ISRAEL - PREMIER TECH;04h 45' 53'';+ 00h 26' 12'';;;9;Individual (Stage);;;2023;3404;21;time;17153;1572
460001;86;DANIEL OSS;TOTALENERGIES;04h 46' 44'';+ 00h 27' 03'';;;9;Individual (Stage);;;2023;3404;21;time;17204;1623
460002;87;LUKE DURBRIDGE;TEAM JAYCO ALULA;04h 46' 44'';+ 00h 27' 03'';;;9;Individual (Stage);;;2023;3404;21;time;17204;1623
460003;88;VEGARD STAKE LAENGEN;UAE TEAM EMIRATES;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460004;89;LAURENT PICHON;TEAM ARKEA - SAMSIC;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460005;9;MATHIEU BURGAUDEAU;TOTALENERGIES;04h 21' 57'';+ 00h 02' 16'';;;9;Individual (Stage);;;2023;3404;21;time;15717;136
460006;90;NICHOLAS SCHULTZ;ISRAEL - PREMIER TECH;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460007;91;MAXIM VAN GILS;LOTTO DSTNY;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460008;92;BENOIT COSNEFROY;AG2R CITROEN TEAM;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460009;93;TOBIAS HALLAND JOHANNESSEN;UNO-X PRO CYCLING TEAM;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460010;94;EDVALD BOASSON-HAGEN;TOTALENERGIES;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460011;95;ANTHON CHARMIG;UNO-X PRO CYCLING TEAM;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460012;96;QUINTEN HERMANS;ALPECIN-DECEUNINCK;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460013;97;RASMUS TILLER;UNO-X PRO CYCLING TEAM;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460014;98;SIMON CLARKE;ISRAEL - PREMIER TECH;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460015;99;JAMES SHAW;EF EDUCATION - EASYPOST;04h 47' 07'';+ 00h 27' 26'';;;9;Individual (Stage);;;2023;3404;21;time;17227;1646
460016;1;JONAS ABRAHAMSEN;UNO-X PRO CYCLING TEAM;;;;;9;Points (Stage);20 PTS;;2023;3404;21;time;0;0
460017;1;MICHAEL WOODS;ISRAEL - PREMIER TECH;;;10';;9;Points (Stage);30 PTS;;2023;3404;21;time;0;0
460018;10;MATHIEU BURGAUDEAU;TOTALENERGIES;;;;;9;Points (Stage);6 PTS;;2023;3404;21;time;0;0
460019;10;DAVID DE LA CRUZ MELGAREJO;ASTANA QAZAQSTAN TEAM;;;;;9;Points (Stage);7 PTS;;2023;3404;21;time;0;0
460020;11;MICHAEL WOODS;ISRAEL - PREMIER TECH;;;;;9;Points (Stage);5 PTS;;2023;3404;21;time;0;0
460021;11;GORKA IZAGIRRE INSAUSTI;MOVISTAR TEAM;;;;;9;Points (Stage);6 PTS;;2023;3404;21;time;0;0
460022;12;GUILLAUME BOIVIN;ISRAEL - PREMIER TECH;;;;;9;Points (Stage);4 PTS;;2023;3404;21;time;0;0
460023;12;VICTOR CAMPENAERTS;LOTTO DSTNY;;;;;9;Points (Stage);5 PTS;;2023;3404;21;time;0;0
460024;13;GORKA IZAGIRRE INSAUSTI;MOVISTAR TEAM;;;;;9;Points (Stage);3 PTS;;2023;3404;21;time;0;0
460025;13;TADEJ POGAČAR;UAE TEAM EMIRATES;;;;;9;Points (Stage);4 PTS;;2023;3404;21;time;0;0
460026;14;VICTOR CAMPENAERTS;LOTTO DSTNY;;;;;9;Points (Stage);2 PTS;;2023;3404;21;time;0;0
460027;14;JONAS VINGEGAARD HANSEN;JUMBO-VISMA;;;;;9;Points (Stage);3 PTS;;2023;3404;21;time;0;0
460028;15;JASPER PHILIPSEN;ALPECIN-DECEUNINCK;;;;;9;Points (Stage);1 PTS;;2023;3404;21;time;0;0
460029;15;SIMON YATES;TEAM JAYCO ALULA;;;;;9;Points (Stage);2 PTS;;2023;3404;21;time;0;0
460030;2;MATEJ MOHORIC;BAHRAIN VICTORIOUS;;;;;9;Points (Stage);17 PTS;;2023;3404;21;time;0;0
460031;2;PIERRE LATOUR;TOTALENERGIES;;;06';;9;Points (Stage);25 PTS;;2023;3404;21;time;0;0
460032;3;GREGAARD JONAS WILSLY;UNO-X PRO CYCLING TEAM;;;;;9;Points (Stage);15 PTS;;2023;3404;21;time;0;0
460033;3;MATEJ MOHORIC;BAHRAIN VICTORIOUS;;;04';;9;Points (Stage);22 PTS;;2023;3404;21;time;0;0
460034;4;PIERRE LATOUR;TOTALENERGIES;;;;;9;Points (Stage);13 PTS;;2023;3404;21;time;0;0
460035;4;MATTEO JORGENSON;MOVISTAR TEAM;;;;;9;Points (Stage);19 PTS;;2023;3404;21;time;0;0
460036;5;DAVID DE LA CRUZ MELGAREJO;ASTANA QAZAQSTAN TEAM;;;;;9;Points (Stage);11 PTS;;2023;3404;21;time;0;0
460037;5;CLÉMENT BERTHET;AG2R CITROEN TEAM;;;;;9;Points (Stage);17 PTS;;2023;3404;21;time;0;0
460038;6;NEILSON POWLESS;EF EDUCATION - EASYPOST;;;;;9;Points (Stage);10 PTS;;2023;3404;21;time;0;0
460039;6;NEILSON POWLESS;EF EDUCATION - EASYPOST;;;;;9;Points (Stage);15 PTS;;2023;3404;21;time;0;0
460040;7;MATTEO JORGENSON;MOVISTAR TEAM;;;;;9;Points (Stage);9 PTS;;2023;3404;21;time;0;0
460041;7;ALEXEY LUTSENKO;ASTANA QAZAQSTAN TEAM;;;;;9;Points (Stage);13 PTS;;2023;3404;21;time;0;0
460042;8;ALEXEY LUTSENKO;ASTANA QAZAQSTAN TEAM;;;;;9;Points (Stage);8 PTS;;2023;3404;21;time;0;0
460043;8;GREGAARD JONAS WILSLY;UNO-X PRO CYCLING TEAM;;;;;9;Points (Stage);11 PTS;;2023;3404;21;time;0;0
460044;9;CLÉMENT BERTHET;AG2R CITROEN TEAM;;;;;9;Points (Stage);7 PTS;;2023;3404;21;time;0;0
460045;9;MATHIEU BURGAUDEAU;TOTALENERGIES;;;;;9;Points (Stage);9 PTS;;2023;3404;21;time;0;0
460046;1;;ASTANA QAZAQSTAN TEAM;13h 14' 40'';-;;;9;Team (Stage);;;2023;3404;21;time;47680;0
460047;10;;BORA - HANSGROHE;13h 39' 36'';+ 00h 24' 56'';;;9;Team (Stage);;;2023;3404;21;time;49176;1496
460048;11;;TEAM JAYCO ALULA;13h 39' 51'';+ 00h 25' 11'';;;9;Team (Stage);;;2023;3404;21;time;49191;1511
460049;12;;ISRAEL - PREMIER TECH;13h 42' 21'';+ 00h 27' 41'';;;9;Team (Stage);;;2023;3404;21;time;49341;1661
460050;13;;TEAM DSM - FIRMENICH;13h 46' 02'';+ 00h 31' 22'';;;9;Team (Stage);;;2023;3404;21;time;49562;1882
460051;14;;COFIDIS;13h 46' 25'';+ 00h 31' 45'';;;9;Team (Stage);;;2023;3404;21;time;49585;1905
460052;15;;INTERMARCHÉ - CIRCUS - WANTY;13h 49' 40'';+ 00h 35' 00'';;;9;Team (Stage);;;2023;3404;21;time;49780;2100
460053;16;;UNO-X PRO CYCLING TEAM;13h 51' 29'';+ 00h 36' 49'';;;9;Team (Stage);;;2023;3404;21;time;49889;2209
460054;17;;EF EDUCATION - EASYPOST;13h 56' 06'';+ 00h 41' 26'';;;9;Team (Stage);;;2023;3404;21;time;50166;2486
460055;18;;LOTTO DSTNY;13h 59' 24'';+ 00h 44' 44'';;;9;Team (Stage);;;2023;3404;21;time;50364;2684
460056;19;;TEAM ARKEA - SAMSIC;14h 06' 26'';+ 00h 51' 46'';;;9;Team (Stage);;;2023;3404;21;time;50786;3106
460057;2;;BAHRAIN VICTORIOUS;13h 20' 32'';+ 00h 05' 52'';;;9;Team (Stage);;;2023;3404;21;time;48032;352
460058;20;;LIDL - TREK;14h 08' 29'';+ 00h 53' 49'';;;9;Team (Stage);;;2023;3404;21;time;50909;3229
460059;21;;SOUDAL QUICK-STEP;14h 12' 00'';+ 00h 57' 20'';;;9;Team (Stage);;;2023;3404;21;time;51120;3440
460060;22;;ALPECIN-DECEUNINCK;14h 13' 07'';+ 00h 58' 27'';;;9;Team (Stage);;;2023;3404;21;time;51187;3507
460061;3;;MOVISTAR TEAM;13h 24' 32'';+ 00h 09' 52'';;;9;Team (Stage);;;2023;3404;21;time;48272;592
460062;4;;AG2R CITROEN TEAM;13h 26' 13'';+ 00h 11' 33'';;;9;Team (Stage);;;2023;3404;21;time;48373;693
460063;5;;TOTALENERGIES;13h 28' 50'';+ 00h 14' 10'';;;9;Team (Stage);;;2023;3404;21;time;48530;850
460064;6;;INEOS GRENADIERS;13h 29' 11'';+ 00h 14' 31'';;;9;Team (Stage);;;2023;3404;21;time;48551;871
460065;7;;GROUPAMA - FDJ;13h 32' 00'';+ 00h 17' 20'';;;9;Team (Stage);;;2023;3404;21;time;48720;1040
460066;8;;UAE TEAM EMIRATES;13h 32' 55'';+ 00h 18' 15'';;;9;Team (Stage);;;2023;3404;21;time;48775;1095
460067;9;;JUMBO-VISMA;13h 33' 21'';+ 00h 18' 41'';;;9;Team (Stage);;;2023;3404;21;time;48801;1121
460068;1;MATTEO JORGENSON;MOVISTAR TEAM;04h 20' 17'';-;;;9;Youth (Stage);;;2023;3404;21;time;15617;0
460069;10;MAXIM VAN GILS;LOTTO DSTNY;04h 47' 07'';+ 00h 26' 50'';;;9;Youth (Stage);;;2023;3404;21;time;17227;1610
460070;11;TOBIAS HALLAND JOHANNESSEN;UNO-X PRO CYCLING TEAM;04h 47' 07'';+ 00h 26' 50'';;;9;Youth (Stage);;;2023;3404;21;time;17227;1610
460071;12;ANTHON CHARMIG;UNO-X PRO CYCLING TEAM;04h 47' 07'';+ 00h 26' 50'';;;9;Youth (Stage);;;2023;3404;21;time;17227;1610
460072;13;VALENTIN FERRON;TOTALENERGIES;04h 47' 07'';+ 00h 26' 50'';;;9;Youth (Stage);;;2023;3404;21;time;17227;1610
460073;14;FLORIAN VERMEERSCH;LOTTO DSTNY;04h 47' 11'';+ 00h 26' 54'';;;9;Youth (Stage);;;2023;3404;21;time;17231;1614
460074;15;JASPER PHILIPSEN;ALPECIN-DECEUNINCK;04h 47' 11'';+ 00h 26' 54'';;;9;Youth (Stage);;;2023;3404;21;time;17231;1614
460075;16;FRED WRIGHT;BAHRAIN VICTORIOUS;04h 47' 11'';+ 00h 26' 54'';;;9;Youth (Stage);;;2023;3404;21;time;17231;1614
460076;17;BEN TURNER;INEOS GRENADIERS;04h 47' 53'';+ 00h 27' 36'';;;9;Youth (Stage);;;2023;3404;21;time;17273;1656
460077;18;YEVGENIY FEDOROV;ASTANA QAZAQSTAN TEAM;04h 47' 58'';+ 00h 27' 41'';;;9;Youth (Stage);;;2023;3404;21;time;17278;1661
460078;19;MATTIAS SKJELMOSE;LIDL - TREK;04h 48' 37'';+ 00h 28' 20'';;;9;Youth (Stage);;;2023;3404;21;time;17317;1700
460079;2;MATHIEU BURGAUDEAU;TOTALENERGIES;04h 21' 57'';+ 00h 01' 40'';;;9;Youth (Stage);;;2023;3404;21;time;15717;100
460080;20;MIKKEL BJERG;UAE TEAM EMIRATES;04h 48' 37'';+ 00h 28' 20'';;;9;Youth (Stage);;;2023;3404;21;time;17317;1700
460081;21;LUCA MOZZATO;TEAM ARKEA - SAMSIC;04h 48' 37'';+ 00h 28' 20'';;;9;Youth (Stage);;;2023;3404;21;time;17317;1700
460082;22;CORBIN STRONG;ISRAEL - PREMIER TECH;04h 48' 37'';+ 00h 28' 20'';;;9;Youth (Stage);;;2023;3404;21;time;17317;1700
460083;23;ALEXIS RENARD;COFIDIS;04h 48' 37'';+ 00h 28' 20'';;;9;Youth (Stage);;;2023;3404;21;time;17317;1700
460084;24;CLÉMENT CHAMPOUSSIN;TEAM ARKEA - SAMSIC;04h 48' 37'';+ 00h 28' 20'';;;9;Youth (Stage);;;2023;3404;21;time;17317;1700
460085;25;LARS VAN DEN BERG;GROUPAMA - FDJ;04h 48' 37'';+ 00h 28' 20'';;;9;Youth (Stage);;;2023;3404;21;time;17317;1700
460086;26;BINIAM GIRMAY;INTERMARCHÉ - CIRCUS - WANTY;04h 48' 37'';+ 00h 28' 20'';;;9;Youth (Stage);;;2023;3404;21;time;17317;1700
460087;27;JORDI MEEUS;BORA - HANSGROHE;04h 49' 40'';+ 00h 29' 23'';;;9;Youth (Stage);;;2023;3404;21;time;17380;1763
460088;28;NILS EEKHOFF;TEAM DSM - FIRMENICH;04h 52' 34'';+ 00h 32' 17'';;;9;Youth (Stage);;;2023;3404;21;time;17554;1937
460089;29;AXEL ZINGLE;COFIDIS;04h 52' 34'';+ 00h 32' 17'';;;9;Youth (Stage);;;2023;3404;21;time;17554;1937
460090;3;TADEJ POGAČAR;UAE TEAM EMIRATES;04h 28' 00'';+ 00h 07' 43'';;;9;Youth (Stage);;;2023;3404;21;time;16080;463
460091;30;SØREN WÆRENSKJOLD;UNO-X PRO CYCLING TEAM;04h 52' 37'';+ 00h 32' 20'';;;9;Youth (Stage);;;2023;3404;21;time;17557;1940
460092;4;TOM PIDCOCK;INEOS GRENADIERS;04h 28' 51'';+ 00h 08' 34'';;;9;Youth (Stage);;;2023;3404;21;time;16131;514
460093;5;CARLOS RODRIGUEZ;INEOS GRENADIERS;04h 29' 00'';+ 00h 08' 43'';;;9;Youth (Stage);;;2023;3404;21;time;16140;523
460094;6;FELIX GALL;AG2R CITROEN TEAM;04h 29' 35'';+ 00h 09' 18'';;;9;Youth (Stage);;;2023;3404;21;time;16175;558
460095;7;KEVIN VERMAERKE;TEAM DSM - FIRMENICH;04h 36' 02'';+ 00h 15' 45'';;;9;Youth (Stage);;;2023;3404;21;time;16562;945
460096;8;MATTHEW DINHAM;TEAM DSM - FIRMENICH;04h 39' 37'';+ 00h 19' 20'';;;9;Youth (Stage);;;2023;3404;21;time;16777;1160
460097;9;MATIS LOUVEL;TEAM ARKEA - SAMSIC;04h 43' 27'';+ 00h 23' 10'';;;9;Youth (Stage);;;2023;3404;21;time;17007;1390
460098;1;ANTHON CHARMIG;UNO-X PRO CYCLING TEAM;;;;;10;Climber (Stage);2 PTS;;2023;3404;21;time;0;0
460099;1;WOUT POELS;BAHRAIN VICTORIOUS;;;;;10;Climber (Stage);2 PTS;;2023;3404;21;time;0;0
460100;1;WARREN BARGUIL;TEAM ARKEA - SAMSIC;;;;;10;Climber (Stage);5 PTS;;2023;3404;21;time;0;0
460101;1;JHOAN ESTEBAN CHAVES RUBIO;EF EDUCATION - EASYPOST;;;;;10;Climber (Stage);2 PTS;;2023;3404;21;time;0;0
460102;1;KRISTS NEILANDS;ISRAEL - PREMIER TECH;;;;;10;Climber (Stage);2 PTS;;2023;3404;21;time;0;0
460103;2;RÉMI CAVAGNA;SOUDAL QUICK-STEP;;;;;10;Climber (Stage);1 PTS;;2023;3404;21;time;0;0
460104;2;KRISTS NEILANDS;ISRAEL - PREMIER TECH;;;;;10;Climber (Stage);1 PTS;;2023;3404;21;time;0;0
460105;2;JHOAN ESTEBAN CHAVES RUBIO;EF EDUCATION - EASYPOST;;;;;10;Climber (Stage);3 PTS;;2023;3404;21;time;0;0
460106;2;WARREN BARGUIL;TEAM ARKEA - SAMSIC;;;;;10;Climber (Stage);1 PTS;;2023;3404;21;time;0;0
460107;2;JHOAN ESTEBAN CHAVES RUBIO;EF EDUCATION - EASYPOST;;;;;10;Climber (Stage);1 PTS;;2023;3404;21;time;0;0
460108;3;GEORG ZIMMERMANN;INTERMARCHÉ - CIRCUS - WANTY;;;;;10;Climber (Stage);2 PTS;;2023;3404;21;time;0;0
460109;4;PELLO BILBAO LOPEZ DE ARMENTIA;BAHRAIN VICTORIOUS;;;;;10;Climber (Stage);1 PTS;;2023;3404;21;time;0;0
