;Rank;Rider;Team;Times;Gap;B;P;Stages;Ranking type;Points;Checkpoint;Year;Distance (km);Number of stages;ResultType;TotalSeconds;GapSeconds
457756;125;JASPER STUYVEN;LIDL - TREK;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457757;126;ADRIEN PETIT;INTERMARCHÉ - CIRCUS - WANTY;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457758;127;BENOIT COSNEFROY;AG2R CITROEN TEAM;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457759;128;G LAWSON CRADDOCK;TEAM JAYCO ALULA;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457760;129;MATTEO TRENTIN;UAE TEAM EMIRATES;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457761;13;CARLOS RODRIGUEZ;INEOS GRENADIERS;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
457762;130;ALEX KIRSCH;LIDL - TREK;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457763;131;JASPER PHILIPSEN;ALPECIN-DECEUNINCK;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457764;132;RAMON SINKELDAM;ALPECIN-DECEUNINCK;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457765;133;MIKE TEUNISSEN;INTERMARCHÉ - CIRCUS - WANTY;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457766;134;JUUL CHRISTOPHER JENSEN;TEAM JAYCO ALULA;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457767;135;LUKA MEZGEC;TEAM JAYCO ALULA;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457768;136;SOREN KRAGH ANDERSEN;ALPECIN-DECEUNINCK;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457769;137;VEGARD STAKE LAENGEN;UAE TEAM EMIRATES;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457770;138;LARS VAN DEN BERG;GROUPAMA - FDJ;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457771;139;JONAS ABRAHAMSEN;UNO-X PRO CYCLING TEAM;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457772;14;WILCO KELDERMAN;JUMBO-VISMA;04h 23' 01'';+ 00h 00' 12'';;;1;Individual (Stage);;;2023;3404;21;time;15781;12
457773;140;RASMUS TILLER;UNO-X PRO CYCLING TEAM;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457774;141;SØREN WÆRENSKJOLD;UNO-X PRO CYCLING TEAM;04h 36' 42'';+ 00h 13' 53'';;;1;Individual (Stage);;;2023;3404;21;time;16602;833
457775;142;DANNY VAN POPPEL;BORA - HANSGROHE;04h 36' 55'';+ 00h 14' 06'';;;1;Individual (Stage);;;2023;3404;21;time;16615;846
457776;143;BEN TURNER;INEOS GRENADIERS;04h 37' 53'';+ 00h 15' 04'';;;1;Individual (Stage);;;2023;3404;21;time;16673;904
457777;144;FABIO JAKOBSEN;SOUDAL QUICK-STEP;04h 38' 03'';+ 00h 15' 14'';;;1;Individual (Stage);;;2023;3404;21;time;16683;914
457778;145;MICHAEL MØRKØV;SOUDAL QUICK-STEP;04h 38' 03'';+ 00h 15' 14'';;;1;Individual (Stage);;;2023;3404;21;time;16683;914
457779;146;ELMAR REINDERS;TEAM JAYCO ALULA;04h 38' 03'';+ 00h 15' 14'';;;1;Individual (Stage);;;2023;3404;21;time;16683;914
457780;147;DYLAN GROENEWEGEN;TEAM JAYCO ALULA;04h 38' 03'';+ 00h 15' 14'';;;1;Individual (Stage);;;2023;3404;21;time;16683;914
457781;148;PETER SAGAN;TOTALENERGIES;04h 38' 03'';+ 00h 15' 14'';;;1;Individual (Stage);;;2023;3404;21;time;16683;914
457782;149;ANDREY AMADOR;EF EDUCATION - EASYPOST;04h 38' 03'';+ 00h 15' 14'';;;1;Individual (Stage);;;2023;3404;21;time;16683;914
457783;15;CORBIN STRONG;ISRAEL - PREMIER TECH;04h 23' 22'';+ 00h 00' 33'';;;1;Individual (Stage);;;2023;3404;21;time;15802;33
457784;150;CALEB EWAN;LOTTO DSTNY;04h 38' 03'';+ 00h 15' 14'';;;1;Individual (Stage);;;2023;3404;21;time;16683;914
457785;151;MAGNUS CORT NIELSEN;EF EDUCATION - EASYPOST;04h 38' 03'';+ 00h 15' 14'';;;1;Individual (Stage);;;2023;3404;21;time;16683;914
457786;152;CHRISTOPHE LAPORTE;JUMBO-VISMA;04h 38' 07'';+ 00h 15' 18'';;;1;Individual (Stage);;;2023;3404;21;time;16687;918
457787;153;RICHARD CARAPAZ;EF EDUCATION - EASYPOST;04h 38' 13'';+ 00h 15' 24'';;;1;Individual (Stage);;;2023;3404;21;time;16693;924
457788;154;SILVAN DILLIER;ALPECIN-DECEUNINCK;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457789;155;ALEXANDER EDMONDSON;TEAM DSM - FIRMENICH;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
457790;156;FREDERIK FRISON;LOTTO DSTNY;04h 39' 40'';+ 00h 16' 51'';;;1;Individual (Stage);;;2023;3404;21;time;16780;1011
